CERT C~ | 1-0-2 | 3
CERT EFz_ | 3-0-4 1-5-2 |
CERT EUxo | 2-0-3 4-1-5 |
CERT I?BeeOwM? | 5-0-6 1-7-4 8-2-9 | 3
CERT I?Bcu`gM? | 5-0-6 7-1-8 2-9-3 | 4
CERT I?bFB_wF? | 4-0-5 6-1-7 2-8-3 | 9
CERT I?`bfAWF? | 4-0-7 5-1-6 8-3-9 | 2
CERT I?`cu`oJ? | 4-0-6 5-1-7 8-2-9 | 3
CERT I?`cm`gM? | 4-0-6 5-1-7 8-2-9 | 3
CERT I?`cmPoM? | 4-0-6 5-1-7 8-2-9 | 3
CERT I?`amQoM? | 4-0-7 5-1-6 8-2-9 | 3
CERT I?`c]`oM? | 4-0-6 5-1-7 8-2-9 | 3
CERT ICOfBaKF? | 3-0-6 4-1-7 2-5-8 | 9
CERT ICOf@pSb? | 3-0-6 4-1-8 5-2-7 | 9
CERT ICOef?kF? | 3-0-6 4-1-7 5-2-8 | 9
CERT ICOedPKL? | 3-0-6 4-1-8 5-2-7 | 9
CERT ICOedO[X? | 3-0-6 4-1-9 5-2-7 | 8
CERT G?zTb_ | 4-0-5 1-7-2 | 3 6
CERT GCrb`o | 3-0-4 5-1-6 | 2 7
CERT GCZJd_ | 3-0-5 4-1-6 | 2 7
CERT GCY^B_ | 3-0-5 4-1-6 | 2 7
CERT K??FEbGL@WB_ | 6-0-7 1-8-4 9-2-10 3-11-5 |
CERT K??FEagT@WB_ | 6-0-7 1-9-3 8-2-10 4-11-5 |
CERT K??FEaKY@gB_ | 6-0-7 1-9-2 10-3-11 4-8-5 |
CERT K??FEaKR@oE_ | 6-0-7 1-9-4 2-10-3 8-5-11 |
CERT K?AEF@oM?w@o | 5-0-6 7-1-8 2-9-3 10-4-11 |
CERT K?AEB`gHcoB_ | 5-0-6 1-7-3 8-2-9 10-4-11 |
CERT K?AEDDWX@oB_ | 5-0-6 8-1-9 7-2-10 3-11-4 |
CERT K?ABF@ce?sB_ | 5-0-7 1-8-2 9-3-11 4-10-6 |
CERT K?ABEb_J?sB_ | 5-0-7 6-1-8 2-9-4 10-3-11 |
CERT K?ABEagE`gH_ | 5-0-7 6-1-11 8-2-10 3-9-4 |
CERT K?ABE`Ke@gDO | 5-0-7 6-1-8 10-2-11 3-9-4 |
CERT K?ABE`Ke@WEO | 5-0-7 6-1-8 10-2-11 3-9-4 |
CERT K?ABBb_e?[B_ | 5-0-8 1-6-2 7-3-9 10-4-11 |
CERT K?ABBb_E_wP_ | 5-0-8 1-6-2 7-3-9 10-4-11 |
CERT K?ABB`gc_wP_ | 5-0-9 6-1-8 2-7-3 10-4-11 |
CERT K?ABArOb@WEO | 5-0-8 6-1-7 2-11-3 9-4-10 |
CERT K?ABApok?[P_ | 5-0-9 6-1-7 2-8-3 10-4-11 |
CERT K?ABApoc`WP_ | 5-0-9 6-1-7 2-8-3 10-4-11 |
CERT K?ABArCe@gDO | 5-0-8 6-1-7 10-2-11 3-9-4 |
CERT K?ABCiWRB_DO | 5-0-7 6-1-9 10-2-11 3-8-4 |
CERT K?ABEDoM?wP_ | 5-0-7 6-1-8 2-9-3 10-4-11 |
CERT K?ABEDWM?wS_ | 5-0-7 6-1-8 9-2-11 3-10-4 |
CERT K?ABEESU@WF? | 5-0-7 6-1-9 2-10-4 8-3-11 |
CERT K?ABCfOY?wD_ | 5-0-7 6-1-8 9-2-11 3-10-4 |
CERT K?ABCfOR@oD_ | 5-0-7 6-1-8 2-10-3 9-4-11 |
CERT K?ABCfGT@oD_ | 5-0-7 6-1-8 2-11-4 9-3-10 |
CERT K?ABCeWU@WK_ | 5-0-7 6-1-9 10-2-11 3-8-4 |
CERT K?ABCdWT@WT? | 5-0-7 6-1-9 10-2-11 3-8-4 |
CERT K?ABCfCY?wF? | 5-0-7 6-1-8 9-2-11 3-10-4 |
CERT K?ABCfCU@WF? | 5-0-7 6-1-8 10-2-11 3-9-4 |
CERT K?ABAdgi?wQ_ | 5-0-9 6-1-7 2-8-4 10-3-11 |
CERT K?ABAfCi?wF? | 5-0-8 6-1-7 9-2-11 3-10-4 |
